pincode,district,latitude,longitude
123001,MAHENDRAGARH,28.044064,76.118082
123021,MAHENDRAGARH,28.100932,76.253154
123023,MAHENDRAGARH,27.892541,76.110493
123024,MAHENDRAGARH,28.378752,75.96466
123027,MAHENDRAGARH,28.336368,76.306545
123028,MAHENDRAGARH,28.191762,76.130587
123029,MAHENDRAGARH,28.25814,76.139164
123031,MAHENDRAGARH,28.271019,76.149389
123034,MAHENDRAGARH,28.258604,76.227683
123035,REWARI,,
123101,REWARI,,
123102,REWARI,,
123103,REWARI,,
123106,REWARI,28.2306667,76.80025
123110,REWARI,28.2335556,77.8032778
123301,REWARI,,
123302,REWARI,,
123303,REWARI,,
123304,REWARI,,
123401,REWARI,,
123411,REWARI,,
123412,REWARI,,
123501,REWARI,,
124001,ROHTAK,28.8973611,76.6331389
124010,ROHTAK,28.735904,76.748085
124021,ROHTAK,28.452977,76.378498
124022,ROHTAK,28.671593,76.748085
124102,JHAJJAR,28.759966,76.931763
124103,JHAJJAR,28.671593,76.437206
124104,JHAJJAR,28.735904,76.510506
124105,JHAJJAR,28.597164,76.783619
124106,JHAJJAR,28.735904,76.510506
124107,JHAJJAR,28.634988,76.823959
124108,JHAJJAR,28.735904,76.510506
124109,JHAJJAR,28.503525,76.599255
124111,ROHTAK,28.735904,76.510506
124112,ROHTAK,28.735904,76.620026
124113,ROHTAK,28.54651,76.683197
124141,JHAJJAR,28.8955833,76.5925278
124142,JHAJJAR,28.502149,76.345367
124146,JHAJJAR,28.671593,76.748085
124201,JHAJJAR,28.603946,76.75272
124202,ROHTAK,28.728528,76.437206
124303,ROHTAK,28.681179,76.510506
124401,ROHTAK,28.725367,76.562691
124404,ROHTAK,28.634988,76.823959
124406,ROHTAK,28.605585,76.620026
124411,ROHTAK,28.502149,76.345367
124412,JHAJJAR,28.605585,76.620026
124501,ROHTAK,28.634988,76.823959
124504,JHAJJAR,28.681179,76.902704
124505,JHAJJAR,28.781163,76.864815
124506,JHAJJAR,28.735904,76.902704
124507,JHAJJAR,28.681179,76.902704
124508,JHAJJAR,28.6825,76.8519
124513,ROHTAK,29.0100277,76.3781722
124514,ROHTAK,28.735904,76.510506
124515,ROHTAK,28.55027,77.5542589
125001,HISAR,29.1621111,75.7510556
125004,HISAR,29.508192,75.4535162
125005,HISAR,,
125006,HISAR,29.1123472,75.1883777
125007,HISAR,29.1394321,75.582458
125011,HISAR,29.191513,75.695714
125033,HISAR,29.0977222,75.9688055
125037,HISAR,28.9448611,75.8261241
125038,HISAR,29.1898901,76.2245833
125039,HISAR,29.2246111,76.1387501
125042,HISAR,29.1086944,75.1999722
125044,HISAR,29.1288333,75.7844722
125047,FATEHABAD,,
125048,FATEHABAD,,
125049,HISAR,29.1594444,75.5701277
125050,FATEHABAD,29.508192,75.4535162
125051,FATEHABAD,29.6853055,75.5762777
125052,HISAR,,
125053,FATEHABAD,29.385233,75.337307
125054,SIRSA,,
125055,SIRSA,,
125056,SIRSA,29.5347778,75.0320833
125058,SIRSA,,
125060,SIRSA,,
125061,HISAR,29.656246,75.421987
125075,SIRSA,,
125076,SIRSA,,
125077,SIRSA,,
125078,SIRSA,,
125101,SIRSA,,
125102,SIRSA,,
125103,SIRSA,,
125104,SIRSA,,
125106,FATEHABAD,29.6745555,75.7301111
125110,SIRSA,,
125111,FATEHABAD,,
125112,HISAR,29.5743333,75.7863055
125113,HISAR,29.5065833,76.3382222
125120,FATEHABAD,29.7208611,75.5712778
125121,HISAR,29.356295,74.079947
125133,FATEHABAD,29.8089722,75.82325
125201,SIRSA,,
126101,JIND,29.3,36.3
126102,JIND,29.3,33.36
126110,JIND,33.3,25.3
126111,JIND,25.36,36.32
126112,JIND,39.93,36.32
126113,JIND,29.3533056,76.4974722
126114,JIND,29.5902777,76.1099166
126115,JIND,30.16,30.16
126116,JIND,25.3,25.3
126125,JIND,29.45,36.3
126152,JIND,29.5902777,76.1099166
127021,BHIWANI,28.7752,75.9928
127022,NAN,28.4614,76.2609
127025,NAN,28.7784,76.3418
127026,NAN,28.5997,76.1517
127027,BHIWANI,28.8837,76.2392
127028,BHIWANI,28.6296,75.6179
127029,BHIWANI,28.6995,75.8708
127030,BHIWANI,28.6358,75.9434
127031,BHIWANI,28.862,76.1407
127032,BHIWANI,28.9449,76.0334
127035,BHIWANI,28.9639,75.9565
127040,BHIWANI,28.8725,75.9144
127041,BHIWANI,28.9734,76.1958
127042,NAN,28.7129,76.2911
127043,BHIWANI,28.7218,75.7664
127045,BHIWANI,28.9648,75.6063
127046,BHIWANI,28.9084,75.6121
127111,BHIWANI,28.8199,76.0653
127114,BHIWANI,28.828,76.3087
127201,BHIWANI,28.4267,75.804
127306,NAN,28.5921,76.2653
127307,NAN,28.6745,76.3707
127308,NAN,28.5094,75.9376
127309,BHIWANI,28.7084,76.22
127310,NAN,28.5216,76.1508
127311,BHIWANI,28.7158,76.1414
127312,NAN,28.5074,76.0695
131001,SONIPAT,29.01,76.96
131021,SONIPAT,28.96,77.08
131022,SONIPAT,21.15,81.71
131023,SONIPAT,29.05,76.91
131024,SONIPAT,28.9330278,76.9749722
131027,SONIPAT,29.03,77.07
131028,SONIPAT,29.05,76.91
131029,SONIPAT,28.98,77.1
131030,SONIPAT,28.4391,77.3009
131039,SONIPAT,29.02,77.06
131101,SONIPAT,29.13,77.01
131102,SONIPAT,28.98,77.1
131103,SONIPAT,29.12,77.01
131301,SONIPAT,29.13,76.69
131302,SONIPAT,29.18,76.62
131304,SONIPAT,29.14,77.04
131305,SONIPAT,29.2,76.61
131306,SONIPAT,29.2,76.77
131402,SONIPAT,28.87,76.91
131403,SONIPAT,28.95,76.93
131408,SONIPAT,28.9,76.84
131409,SONIPAT,29.44,77
132001,KARNAL,29.6923611,76.9995833
132022,KARNAL,29.7176111,77.0783056
132023,KARNAL,29.6874444,76.9906666
132024,KARNAL,29.3959722,76.9606388
132035,NAN,29.57512,76.77929
132036,KARNAL,32.5,32.5
132037,KARNAL,29.3959722,76.9606388
132039,KARNAL,100,100
132040,KARNAL,100,100
132041,KARNAL,29.5902777,76.1099166
132046,KARNAL,29.5286111,75.9966111
132054,KARNAL,100,100
132101,PANIPAT,33.3,22.2
132102,PANIPAT,33.36,29.88
132103,PANIPAT,29.3919611,76.9767305
132104,PANIPAT,34.43,36.63
132105,PANIPAT,32.3,25.3
132106,PANIPAT,36.87,25.85
132107,PANIPAT,23.5,23.5
132108,PANIPAT,25.3,25.3
132113,PANIPAT,29.5902777,76.1099166
132114,KARNAL,29.12,29.12
132115,PANIPAT,29.5902777,76.1099166
132116,KARNAL,29.5286111,75.9966111
132117,KARNAL,29.3959722,76.9606388
132122,PANIPAT,29.5902777,76.1099166
132140,PANIPAT,25.6,25.6
132145,PANIPAT,29.3102222,76.9002778
132157,KARNAL,20.8370278,76.7370278
133001,AMBALA,30.4943333,76.8345
133004,AMBALA,30.271943,76.851916
133005,AMBALA,30.3781868,76.7766894
133006,NAN,30.310804,76.871856
133008,AMBALA,30.210836,76.758583
133010,AMBALA,28.572633,77.23251
133101,AMBALA,30.2937,76.9207
133102,AMBALA,30.378745,76.955664
133103,YAMUNANAGAR,30.3781858,76.7766904
133104,AMBALA,30.30052,76.96861
133201,AMBALA,30.242696,77.058567
133202,AMBALA,30.2113,77.1514
133203,AMBALA,28.9546,78.2647
133204,YAMUNANAGAR,30.3822222,77.2177778
133205,AMBALA,30.187238,77.037736
133206,YAMUNANAGAR,30.316,77.235
133207,AMBALA,30.2674976,77.0222963
133301,PANCHKULA,30.7742777,76.8948333
133302,PANCHKULA,30.378188,76.776687
134003,AMBALA,30.38425,76.7716667
134005,AMBALA,30.38425,76.7716667
134007,AMBALA,30.41012,76.8408
134008,AMBALA,30.3781848,76.7766914
134101,PANCHKULA,30.7827222,76.9102778
134102,PANCHKULA,30.694216,76.860558
134103,PANCHKULA,30.6343333,76.91525
134104,PANCHKULA,30.7826389,76.9247222
134105,PANCHKULA,30.38425,76.7716667
134107,PANCHKULA,30.7238333,76.8759167
134108,PANCHKULA,30.7064167,76.8727778
134109,PANCHKULA,30.686194,76.839263
134112,PANCHKULA,30.7486944,76.85475
134113,PANCHKULA,30.6852778,76.8392222
134114,PANCHKULA,30.7212222,76.8525833
134116,PANCHKULA,30.565659,76.937756
134117,PANCHKULA,30.6691944,76.8578611
134118,PANCHKULA,29.36695,75.9458
134201,AMBALA,30.44391,76.93318
134202,AMBALA,30.4234973,76.9621951
134203,AMBALA,30.694217,76.860557
134204,PANCHKULA,30.56949,76.97274
