feature,importance
id_LOA-K9DTEXHS,0.48530829600692854
id_LOA-SG1D8C1P,0.08002851376723404
var_6,0.04995636596168938
var_1,0.039914339361617146
id_DR54EQSK,0.02526399358956976
city_Uttara Kannada,0.024841578982345697
var_0,0.020762087675119733
var_19,0.016044290795014463
id_LOA-RVMSBYSX,0.009465132069940799
var_20,0.00807462141073447
var_14,0.0075817986273813915
var_68,0.005623190320599858
var_26,0.005579195906246913
var_34,0.004608462152483234
id_LOA-HJ6A72KD,0.004365382708966354
var_18,0.0042169704492400345
city_Bharuch,0.00375968268572497
var_9,0.0036380813823566486
id_LOA-1HPDTQT1,0.0035421556049612976
var_27,0.003397521893860388
var_32,0.003369734376419654
var_36,0.0032718998720896878
var_8,0.0032664076394213343
var_49,0.0032052814114850023
var_5,0.0030128033263763427
var_4,0.0029933765859538252
var_43,0.0029154709121469624
var_31,0.002912996868506895
age,0.0028671064716803106
var_48,0.0028490819688881596
var_21,0.0027285386861632863
id_LOA-8MS7YZDL,0.0026183162157531557
var_50,0.002557034490644946
var_70,0.002465210371801084
var_22,0.002432776471143986
id_LOA-LNR2BJTA,0.0024050805505284193
pincode,0.002342554994415597
device_model_cph2413,0.00218124090893967
var_11,0.00215162040798541
var_33,0.002127317095906238
var_66,0.0020993176621296275
var_59,0.001970660989677043
city_Nashik,0.0019689076058137327
var_29,0.001945943513065102
var_39,0.0018848603606447343
pin,0.001880298249350849
var_24,0.0018528213207769403
var_13,0.001826379203314778
var_38,0.0018085295762182818
var_35,0.0017983293303184707
var_37,0.0017862944510362202
var_73,0.0017842035216858046
var_47,0.0017730194788105394
education_score_71.15167752,0.0016691179182636855
var_55,0.0016426997453381632
var_69,0.001632946828352777
var_54,0.0016251692326752667
var_30,0.001605656172341362
var_2,0.001597271300941511
var_56,0.0015916636825322819
var_28,0.0015901879809974424
var_44,0.0014848392636467541
id_LOA-PY4L56RV,0.0014816573540262403
var_16,0.0014608476591557791
var_3,0.0014307014200134031
var_67,0.0014298651171371446
var_23,0.0014037753981685636
var_10,0.0013891216229579772
var_41,0.0013821341085969968
var_42,0.001381908741725842
var_64,0.0013411183477582793
id_LOA-PNMTZJEH,0.0013332347707212964
var_51,0.0013180006033670923
var_15,0.0012347672369846141
var_46,0.0012035577757491564
var_7,0.0012019630693615578
var_71,0.001175827508337944
var_62,0.0011562905466660982
var_45,0.0010870742921552047
var_12,0.0010675580519879854
State_Uttarakhand,0.0009968793093546636
var_58,0.000981821455339675
city_Warangal,0.0009758407767459185
var_17,0.0009283235387937652
var_25,0.0009265314462197977
city_Mohali,0.0009096359930285694
var_40,0.000907952447038246
id_LOA-XKQC23UB,0.0009015180027794991
id_AK7LPKQP,0.0008748019867001517
id_LOA-FU38PSJG,0.0008660612772159224
city_Mainpuri,0.0008566794827907974
device_model_SM-M526B,0.000845071823482935
var_61,0.0008306112360473588
id_LOA-VNJE6B3Y,0.0008278980429537518
id_LOA-52189NHN,0.0008273724763279022
id_LOA-78C4T7P8,0.0007883523872443037
id_LOA-LPURNL3M,0.0007742586223006679
city_Vishakhapatnam,0.0007547988279742083
id_LOA-BKSDAXHG,0.0007295106904561758
city_Medchal Malkajgiri,0.0006939659505486937
city_Palacode,0.0006853532245463803
device_model_V2152,0.0006749509686323836
education_score_75.28036021,0.0006746878105609187
var_65,0.0006604066319905456
city_Nainital,0.0006311809902057387
var_63,0.000630850077526873
id_LOA-RSF3CQ7Z,0.0006199927417755297
district_MAINPURI,0.0006162272365068058
device_model_I2223,0.0006096484212702992
district_KHORDHA,0.000605798948561979
id_LOA-NMAFTSRN,0.0006048200688448589
device_manufacturer_oneplus,0.0006013411222200808
device_model_CPH2333,0.0006009753216553478
var_53,0.0005957026378833969
city_Agra,0.0005808454596961329
district_THENI,0.0005801404687669949
city_NOT AVAILABLE,0.0005701692362357077
district_BANKA,0.0005699950662784524
Usage,0.0005687763107571802
id_LOA-YT4QT4AK,0.0005501002863300408
scaled_usage,0.0005396946992055254
id_LOA-7QB6K53A,0.0005207923320429852
id_LOA-13QLQKQT,0.0005018332778842986
city_BANKA,0.0004866040561276684
household_size_4.863782072,0.00047817377622109877
var_57,0.00047749634622827787
device_model_SM-M336BU,0.0004721419653968692
city_Khorda,0.00047181939363794006
district_NAINITAL,0.00046472895548862314
id_LOA-HXBD5LU8,0.00045092017346831794
var_52,0.00043213197900382705
household_size_4.994073042,0.0004306813921217855
education_score_71.70883437,0.00041553212104969845
state_Telangana,0.0004075834571727925
device_model_SM-S911B,0.00039854000556754904
var_60,0.000397378519552394
education_score_74.92723291,0.00039380344159107016
district_MALKANGIRI,0.0003613019485816608
city_West Delhi,0.00034888916350677736
city_Khammam,0.0003488619038446973
id_LOA-NDYQB2AU,0.0003480778369435376
TOT_P,0.00034634163501339084
household_size_4.448430885,0.0003379928717721613
city_Tirunelveli,0.00032654582824788697
device_model_CPH2667,0.0003223490298711796
id_LOA-6HT14G4Q,0.00031947925982735593
device_model_CPH2603,0.00031373935011341916
city_East Garo Hills,0.0003092225272508952
residence_ownership_SELF-OWNED,0.00030243632769945487
device_manufacturer_samsung,0.0003017121602854678
state_Andhra Pradesh,0.0003009562128401363
device_model_LE2101,0.0003006618857754837
city_AMARGOL,0.00029733872027570704
var_74_K-High Risk,0.0002844396564962245
id_LOA-CVC5VY8K,0.0002826090027885826
district_MUMBAI,0.00028199699784320267
var_74_H-Medium Risk,0.00027994812352926513
city_Barddhaman,0.000277251710203241
device_model_X671,0.00027192802385230045
id_LOA-397QTXCK,0.00026805691195514223
district_VISAKHAPATNAM,0.00026726282560803034
id_LOA-T78XM5N5,0.000263095393023656
id_LOA-2K3ZT72X,0.00025792191973208074
No_HH,0.00025359535106685236
city_Nellore,0.00025191816137797577
id_LOA-CDG5PHQJ,0.0002500204148889312
district_DHARMAPURI,0.0002466526491661342
id_LOA-95974JKB,0.0002463599801700641
household_size_5.070471667,0.00023763675167330178
P_LIT,0.00022943553761744183
